observation_count,replicate,threshold,holdout_roc_auc,holdout_balanced_accuracy,holdout_sensitivity,holdout_specificity,development_roc_auc,development_balanced_accuracy
320,5,1.8082000790785049,0.9411764705882353,0.8823529411764706,1.0,0.7647058823529411,0.9212523719165086,0.8913662239089184
320,6,1.477825878620992,0.8333333333333334,0.8555555555555556,0.7777777777777778,0.9333333333333333,0.9272727272727272,0.8696969696969697
320,7,1.3341791644819139,0.8838383838383839,0.797979797979798,0.7777777777777778,0.8181818181818182,0.7936936936936937,0.8324324324324325
320,8,2.118286318715011,0.859375,0.71875,0.9375,0.5,0.8949652777777778,0.8576388888888888
320,9,1.2425346416017213,0.9181818181818182,0.8545454545454545,0.8,0.9090909090909091,0.9025604551920341,0.8808677098150782
320,10,1.5981106499726971,0.793939393939394,0.7757575757575758,0.7333333333333333,0.8181818181818182,0.9254709254709255,0.8886158886158886
320,11,1.4577006011114595,0.9166666666666666,0.8083333333333333,0.8666666666666667,0.75,0.9006734006734006,0.8674242424242424
320,12,0.988306251994493,0.8375,0.79375,0.6875,0.9,0.9095394736842105,0.8330592105263157
320,13,1.4811885524342863,0.8928571428571429,0.8303571428571428,0.875,0.7857142857142857,0.9016544117647058,0.8483455882352942
320,14,1.4446804039175316,0.8256578947368421,0.837171052631579,0.7368421052631579,0.9375,0.9493534482758621,0.8981681034482758
320,15,1.4068893099048574,0.8061224489795918,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.921090387374462,0.8949067431850789
320,16,1.036697475952685,0.8190045248868778,0.8235294117647058,0.6470588235294118,1.0,0.8829493087557604,0.8889400921658985
320,17,1.387338877571132,0.9282051282051282,0.8897435897435897,0.8461538461538461,0.9333333333333333,0.8935064935064935,0.8696969696969697
320,18,1.2474433559462952,0.8923076923076924,0.8128205128205128,0.6923076923076923,0.9333333333333333,0.8961038961038961,0.8411255411255412
320,19,1.3880364017273483,1.0,1.0,1.0,1.0,0.8406926406926407,0.8242424242424242
320,20,1.4798448345389241,0.8888888888888888,0.8,0.7333333333333333,0.8666666666666667,0.8953168044077136,0.8333333333333334
320,21,1.4289246006289187,0.9233333333333333,0.9083333333333333,0.8666666666666667,0.95,0.9166666666666666,0.9090909090909092
320,22,1.1615503396069828,0.8711111111111111,0.8333333333333333,0.6666666666666666,1.0,0.8466483011937558,0.7878787878787878
320,23,1.150786636522415,0.8976608187134503,0.8333333333333333,0.6666666666666666,1.0,0.864367816091954,0.832183908045977
372,0,1.5406650874697319,0.875,0.80625,0.8125,0.8,0.9386160714285714,0.9040178571428572
372,1,1.2189517046045708,0.9621848739495799,0.8529411764705883,0.7058823529411765,1.0,0.9222011385199241,0.9046489563567363
372,2,1.3472150433180459,0.9120879120879121,0.8873626373626373,0.8461538461538461,0.9285714285714286,0.873109243697479,0.8558823529411765
372,3,1.2917773514433497,0.8351648351648352,0.7472527472527473,0.5714285714285714,0.9230769230769231,0.9210084033613445,0.9117647058823529
372,4,1.2567287173821153,0.9508928571428571,0.9017857142857143,0.875,0.9285714285714286,0.9108455882352942,0.8612132352941176
372,5,1.0293167615047285,0.9166666666666666,0.8076923076923077,0.6153846153846154,1.0,0.8952380952380953,0.8436507936507937
372,6,1.2397273728991056,0.8894230769230769,0.7908653846153846,0.7692307692307693,0.8125,0.9008928571428572,0.853125
372,7,1.3520498685435967,0.9,0.8833333333333333,0.8333333333333334,0.9333333333333333,0.8888888888888888,0.8777056277056277
372,8,1.6930594289957084,0.8698224852071006,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8955102040816326,0.8571428571428571
372,9,1.1621256065053385,0.8074074074074075,0.7777777777777778,0.5555555555555556,1.0,0.8909090909090909,0.8712121212121212
372,10,1.1949488798578334,0.9914529914529915,0.8076923076923077,0.6153846153846154,1.0,0.8673992673992674,0.8472527472527474
372,11,2.0452965905438063,0.9360902255639098,0.8665413533834586,0.9473684210526315,0.7857142857142857,0.845841784989858,0.8133874239350912
372,12,1.2753079670043432,0.9688888888888889,0.9,0.8666666666666667,0.9333333333333333,0.9412304866850322,0.9090909090909092
372,13,1.60128185262755,0.9012345679012346,0.8333333333333333,0.8888888888888888,0.7777777777777778,0.9368836291913215,0.8974358974358975
372,14,1.5146991530343255,0.8690476190476191,0.8392857142857143,0.9285714285714286,0.75,0.9803921568627451,0.928921568627451
372,15,1.512653202949232,0.9444444444444444,0.8611111111111112,0.8333333333333334,0.8888888888888888,0.9307692307692308,0.9115384615384616
372,16,1.674863063436452,0.9375,0.84375,0.9375,0.75,0.94609375,0.890625
372,17,1.5100440601619098,0.8961038961038961,0.8636363636363636,0.7272727272727273,1.0,0.924483306836248,0.8712241653418125
372,18,1.7527796914281821,0.95,0.91875,0.9375,0.9,0.9736842105263158,0.9342105263157895
372,19,1.348299170252285,0.975,0.8729166666666667,0.8125,0.9333333333333333,0.9422348484848485,0.9076704545454546
372,20,1.4059386126915256,0.9393939393939394,0.9128787878787878,0.9166666666666666,0.9090909090909091,0.9076576576576577,0.8757507507507507
372,21,1.4328595621639157,0.9466666666666667,0.9083333333333333,0.95,0.8666666666666667,0.948051948051948,0.9161255411255411
372,22,1.5446803839762548,0.793233082706767,0.7612781954887218,0.7368421052631579,0.7857142857142857,0.8782961460446247,0.8427991886409736
372,23,1.1813833344951048,0.8933333333333333,0.7666666666666666,0.6,0.9333333333333333,0.9035087719298246,0.8927432216905902
